SalleDeBain,surface,chambres,salons,Secteur,price
3,205,3,2,Quartier des Hôpitaux,2400000
1,63,2,1,Sidi Maarouf,540000
2,100,2,2,Belvédère,980000
2,138,3,1,Maarif,1900000
1,94,2,1,Anfa,1100000
1,69,2,1,Oulfa,970000
2,84,2,1,Belvédère,700000
2,108,2,1,Mers Sultan,1300000
1,52,1,1,Oulfa,1000000
2,154,4,1,Ain Sebaa,1890000
2,80,2,2,Sidi Othmane,420000
2,92,2,1,Bourgogne,1050000
2,81,2,1,Oasis,1270000
2,87,2,1,Centre Ville,957000
2,97,2,2,Bourgogne,1050000
1,86,2,1,Bourgogne,950000
2,78,2,1,Sidi Maarouf,760000
1,67,1,1,Centre Ville,850000
2,93,2,1,Casablanca Finance City,1600000
1,63,2,1,Aïn Chock,750000
2,72,2,1,Ain Sebaa,740000
1,76,2,1,Sidi Maarouf,760000
2,105,3,1,Sidi Maarouf,1100000
2,87,2,1,Maarif,1250000
1,56,2,1,Beauséjour,650000
2,127,3,2,Maarif,2200000
1,85,2,1,Centre Ville,850000
2,81,2,1,Centre Ville,750000
2,83,3,2,Ain Sebaa,960000
1,58,2,1,Ain Sebaa,670000
2,98,2,2,Ain Sebaa,1000000
2,114,2,1,Maarif,1980000
1,63,2,1,Sidi Moumen,400000
1,160,4,1,Maarif,2400000
1,120,2,2,C.I.L,1950000
2,133,3,1,Oasis,2200000
1,77,2,1,Ain Sebaa,980000
2,98,3,1,Oasis,1960000
1,115,3,1,Oulfa,1200000
1,64,2,1,Ain Sebaa,560000
1,80,2,1,Al Qods,750000
2,210,4,2,Belvédère,1650000
2,101,3,1,Ain Sebaa,990000
1,91,2,1,Centre Ville,740000
1,51,1,1,Beauséjour,809000
2,126,3,2,Maarif,2200000
1,101,2,2,Aïn Borja,990000
2,100,2,1,Roches Noires,1090000
1,81,1,1,Les Princesses,1560000
3,157,3,1,Bourgogne,2600000
1,117,3,1,Ain Sebaa,850000
2,92,2,2,2 Mars,1240000
1,70,2,1,Sidi Bernoussi,400000
2,160,3,3,Palmier,2850000
2,115,2,1,Belvédère,750000
2,84,2,1,Nassim,900000
2,107,3,2,Sidi Moumen,980000
1,91,3,1,Aïn Borja,750000
1,58,2,1,Oulfa,600000
1,63,3,1,Ain Sebaa,520000
2,57,2,1,Ain Sebaa,440000
1,79,3,1,Sidi Moumen,740000
1,59,2,1,Bournazil,500000
1,116,2,1,Bourgogne,1350000
1,65,2,1,Errahma,600000
1,73,2,1,Bourgogne,750000
1,63,1,1,Ain Sebaa,650000
2,78,3,1,Ain Sebaa,897000
2,89,2,1,Bourgogne,1450000
1,83,1,2,Derb Omar,830000
1,94,2,1,Belvédère,1050000
1,74,3,1,Oulfa,860000
2,86,2,1,La Gare,880000
2,135,3,1,Racine,2350000
2,75,4,1,Sidi Bernoussi,580000
2,128,3,2,Bourgogne,1400000
1,82,2,1,Autre secteur,1080000
2,82,2,1,Hermitage,1229499
2,78,3,1,Aïn Chock,800000
1,103,2,2,Maarif,1070000
3,152,3,2,Ferme Bretone,2650000
1,67,2,1,Oulfa,580000
3,111,3,1,Laimoune,1720000
1,101,2,2,Aïn Borja,990000
1,62,2,2,Hay Hassani,620000
1,79,3,1,Hay Albaraka,600000
2,76,2,1,Autre secteur,720000
3,169,4,2,Belvédère,1600000
2,126,3,1,Autre secteur,1200000
2,60,4,2,Hay Moulay Rachid 3,600000
1,98,1,1,Maarif,1250000
1,56,1,1,Ain Sebaa,520000
2,78,2,1,Sidi Maarouf,750000
2,81,2,1,Sidi Maarouf,750000
2,238,4,2,Derb Omar,1850000
1,60,2,1,Ain Sebaa,590000
2,85,2,2,Belvédère,860000
1,147,2,1,Roches Noires,1100000
3,141,3,2,Beauséjour,2170000
3,183,4,2,Centre Ville,1750000
2,113,3,1,Beauséjour,1100000
2,113,2,1,Ain Sebaa,1100000
2,200,3,3,La Gironde,2100000
1,101,2,1,Autre secteur,1000000
3,190,3,2,2 Mars,2470000
2,128,3,2,2 Mars,1800000
2,119,3,1,La Gironde,1450000
2,132,3,1,Californie,1450000
1,92,3,1,Hay Mohammadi,740000
3,162,3,2,2 Mars,1950000
1,90,3,1,Bourgogne,895000
2,128,3,2,Bourgogne,1380000
1,55,2,1,Belvédère,510000
3,147,3,1,Val Fleuri,2400000
2,132,3,1,Quartier des Hôpitaux,1690000
2,139,2,3,Aïn Borja,1250000
2,92,2,1,Autre secteur,985000
1,50,2,1,Oulfa,400000
1,55,2,1,Oulfa,440000
2,78,2,1,Sidi Maarouf,760000
2,126,3,2,Maarif,2200000
2,80,2,2,Sidi Othmane,420000
3,136,2,1,Anfa,1799999
2,127,3,2,Les Princesses,2200000
1,60,2,1,Sidi Bernoussi,420000
2,81,3,1,Oulfa,890000
1,47,1,1,2 Mars,780000
2,126,3,3,Val Fleuri,1650000
2,70,2,1,Sidi Bernoussi,610000
2,186,3,2,Val Fleuri,2250000
1,125,2,2,Bourgogne,1300000
1,60,2,1,Ain Sebaa,480000
2,98,2,1,2 Mars,1200000
2,204,4,2,Maarif,1800000
2,160,3,3,Oulfa,1250000
2,105,3,1,Beauséjour,1500000
2,101,3,1,Ain Sebaa,990000
1,45,1,1,Sidi Maarouf,800000
1,94,3,1,Belvédère,890000
2,196,3,2,Racine,2700000
1,144,3,1,Val Fleuri,1550000
1,84,1,1,2 Mars,1550000
2,98,2,2,Californie,1350000
2,86,3,1,Ain Sebaa,900000
2,66,2,2,Errahma,480000
1,40,1,1,Maarif,860000
1,54,2,1,Sidi Maarouf,445000
2,120,3,1,Abdelmoumen,1650000
1,73,2,1,Sidi Moumen,500000
2,109,2,2,Hay Mohammadi,600000
2,70,3,1,Sbata,1760000
2,94,2,1,Belvédère,1350000
1,113,3,1,2 Mars,850000
1,65,3,1,Hay Moulay Rachid,470000
2,105,3,2,Sidi Maarouf,1100000
1,74,2,2,Hay Hassani,700000
1,56,2,1,Sidi Maarouf,560000
2,80,2,2,Sidi Othmane,420000
3,111,3,1,Laimoune,1720000
1,51,1,1,Beauséjour,809000
1,65,2,1,Sidi Moumen,450000
2,105,3,1,Sidi Moumen,800000
2,127,3,1,Maarif,1750000
2,112,3,1,Belvédère,1700000
1,77,2,1,Roches Noires,750000
2,100,2,1,C.I.L,1800000
1,73,3,1,Ain Sebaa,680000
2,186,3,2,Val Fleuri,2300000
1,57,2,1,Ain Sebaa,460000
2,193,3,2,Californie,2700000
3,143,3,1,Aïn Chock,1450000
2,158,5,1,Sidi Othmane,670000
2,70,2,1,Sidi Maarouf,888000
2,88,3,1,Sidi Maarouf,1100000
2,169,4,1,Sidi Maarouf,2144000
2,99,3,1,Sidi Maarouf,1600000
2,77,2,1,Sidi Maarouf,975000
1,115,3,1,Californie,1400000
1,64,1,1,Gauthier,1150000
2,130,3,2,Aïn Chock,1500000
2,202,3,3,2 Mars,2100000
1,58,2,1,Sidi Maarouf,620000
2,125,3,2,Quartier des Hôpitaux,1650000
2,101,3,1,2 Mars,800000
1,83,2,1,Al Qods,830000
1,64,2,1,Ain Sebaa,730000
2,171,4,2,Maarif,2200000
2,89,2,1,Bourgogne,1750000
2,64,2,1,Sidi Moumen,500000
1,99,2,1,Sidi Bernoussi,500000
1,60,2,1,Oulfa,550000
2,74,2,1,Sidi Moumen,490000
2,70,2,1,Sidi Moumen,440000
2,179,2,2,Gauthier,2450000
1,64,2,1,Sidi Bernoussi,460000
1,51,1,1,Beauséjour,809000
2,154,3,3,Racine,2150000
2,81,2,1,Oasis,1270000
1,52,2,1,Oulfa,420000
2,105,2,1,Mers Sultan,1400000
2,98,3,1,Sidi Maarouf,1200000
2,175,4,2,Abdelmoumen,2320000
2,58,2,1,Errahma,465000
1,70,2,1,Aïn Chock,630000
2,138,3,2,Abdelmoumen,1380000
3,212,4,2,Laimoune,1850000
1,65,3,1,Oulfa,650000
2,96,2,2,Autre secteur,860000
1,106,3,1,Sidi Bernoussi,650000
1,67,2,1,Ben Ejdia,770000
2,69,2,1,Oulfa,680000
1,128,3,1,Beauséjour,1300000
2,151,3,2,Beauséjour,2642500
2,100,2,1,Palmier,1450000
1,75,2,1,Maarif,850000
1,77,2,1,Aïn Chock,790000
2,125,3,1,Maarif,1760000
2,136,2,2,La Gironde,1350000
2,104,2,2,Oulfa,800000
2,113,2,1,Ain Sebaa,1089000
1,70,2,1,Maarif,1050000
1,61,2,2,Centre Ville,700000
2,132,3,1,Aïn Diab,2100000
2,110,2,2,Casablanca Finance City,2500000
2,134,2,2,Belvédère,1780000
1,74,2,1,Aïn Chock,790000
1,70,2,2,Hay Moulay Rachid,500000
2,98,2,1,Belvédère,890000
2,92,2,3,Franceville,1250000
2,112,3,2,C.I.L,1650000
3,80,3,2,Hay Hassani,1400000
1,86,2,1,Oulfa,920000
3,99,3,2,Oulfa,1040000
3,111,3,1,Laimoune,1720000
2,78,2,1,Sidi Maarouf,760000
1,51,1,1,Beauséjour,809000
2,100,2,1,Sidi Bernoussi,600000
1,76,3,1,Sidi Bernoussi,420000
2,85,2,1,2 Mars,1000000
2,105,2,2,Oulfa,800000
1,121,3,1,2 Mars,1700000
1,65,3,1,Oulfa,450000
1,82,2,1,Oulfa,850000
1,54,2,1,Lissasfa,400000
1,52,1,1,Bourgogne,1050000
1,64,2,1,Maarif,990000
2,119,3,1,Les Princesses,1850000
2,133,2,2,Californie,1600000
2,84,3,1,Autre secteur,560000
2,102,3,2,Route d'Azemmour,950000
1,73,2,1,Ben M'sick,420000
1,63,2,1,Sidi Maarouf,820000
2,126,3,1,Aïn Chock,1100000
3,221,3,2,Sidi Moumen,1200000
2,101,2,2,Bachkou,1360000
2,125,2,1,Belvédère,1240000
2,164,3,3,Californie,2800000
2,137,3,2,Val Fleuri,1630000
2,187,3,3,Val Fleuri,2200000
2,140,3,2,2 Mars,1850000
2,130,2,1,Maârif Extension,1450000
1,69,1,1,Les Princesses,1180000
1,67,2,1,Al Fida,690000
2,93,2,2,Belvédère,920000
1,54,2,1,Ain Sebaa,460000
1,50,2,1,Sidi Bernoussi,450000
2,117,3,2,Bournazil,760000
1,56,2,1,Hay Mohammadi,480000
1,54,2,1,Sidi Othmane,400000
1,80,2,1,Centre Ville,790000
2,100,2,2,Casablanca Finance City,2300000
2,154,3,3,Racine,2150000
2,92,2,1,Bourgogne,1050000
2,78,2,1,Sidi Maarouf,760000
1,62,2,1,Sidi Maarouf,560000
1,78,2,1,Maârif Extension,1200000
2,120,2,2,Bourgogne,2100000
1,58,2,1,Ain Sebaa,580000
2,125,3,2,Racine,1750000
1,61,2,1,Sidi Bernoussi,430000
2,88,2,1,Sidi Maarouf,1000000
2,160,3,2,Val Fleuri,2480000
1,65,3,1,Oulfa,450000
1,82,2,1,Oulfa,850000
1,73,2,2,Belvédère,800000
2,124,2,2,Les Princesses,2000000
1,60,2,1,Sidi Moumen,600000
2,106,3,1,Sidi Maarouf,1250000
2,109,2,1,Anfa,1140000
1,50,2,1,Hay Hassani,450000
1,87,2,1,Aïn Borja,670000
3,113,3,1,Val Fleuri,2230000
1,50,2,1,Oulfa,400000
2,187,3,2,2 Mars,1930000
2,110,2,2,Abdelmoumen,1400000
1,42,1,1,Beauséjour,809000
1,90,3,1,Hay Sadri,620000
1,63,1,1,Centre Ville,840000
1,53,1,1,Quartier des Hôpitaux,1000000
1,71,2,1,Route d'Azemmour,640000
2,75,2,2,Aïn Borja,750000
1,74,2,1,Bourgogne,750000
2,128,2,1,Maarif,1950000
